chebi1, name1, chebi2, name2, rhea, equation
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/11672,"chorismate + L-glutamine = 4-amino-4-deoxychorismate + L-glutamate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/11680,"ATP + H2O + L-glutamine + XMP = AMP + diphosphate + GMP + 2 H(+) + L-glutamate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/12128,"2 L-glutamate + 2 oxidized [2Fe-2S]-[ferredoxin] = 2-oxoglutarate + 2 H(+) + L-glutamine + 2 reduced [2Fe-2S]-[ferredoxin]"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/12228,"ATP + H2O + L-aspartate + L-glutamine = AMP + diphosphate + H(+) + L-asparagine + L-glutamate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/12544,"2 ATP + 2 H2O + hydrogenobyrinate + 2 L-glutamine = 2 ADP + 2 H(+) + hydrogenobyrinate a,c-diamide + 2 L-glutamate + 2 phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/13237,"D-fructose 6-phosphate + L-glutamine = D-glucosamine 6-phosphate + L-glutamate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/13753,"2 L-glutamate + NAD(+) = 2-oxoglutarate + H(+) + L-glutamine + NADH"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/14513,"ATP + H2O + L-aspartyl-tRNA(Asn) + L-glutamine = ADP + 2 H(+) + L-asparaginyl-tRNA(Asn) + L-glutamate + phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/14905,"5-phospho-beta-D-ribosylamine + diphosphate + L-glutamate = 5-phospho-alpha-D-ribose 1-diphosphate + H2O + L-glutamine"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/15501,"2 L-glutamate + NADP(+) = 2-oxoglutarate + H(+) + L-glutamine + NADPH"
